Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",M
NED,"Art Competitions","Art Competitions Mixed Literature, Dramatic Works",Bronze,"Willemien Aardenburg",F
NOR,"Art Competitions","Art Competitions Mixed Music, Unknown Event",Bronze,"Ann Kristin Aarnes",F
ITA,Athletics,"Athletics Men's 200 metres",Bronze,"Giovanni Abagnale",M
ESP,Athletics,"Athletics Men's 200 metres Hurdles",Bronze,"Jos Luis Abajo Gmez",M
AZE,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,"Patimat Abakarova",F
ESP,Athletics,"Athletics Men's Discus Throw, Both Hands",Bronze,"Jos Manuel Abascal Gmez",M
HUN,Athletics,"Athletics Men's Standing Long Jump",Bronze,"Oszkr Abay-Nemes",M
ITA,Athletics,"Athletics Women's 1,500 metres",Bronze,"Silvano Abba",M
AUS,Boxing,"Boxing Men's Heavyweight",Bronze,"Desmond "Des" Abbott",M
IRI,Fencing,"Fencing Men's Sabre, Individual",Bronze,"Saeid Morad Abdevali",M
CAN,"Figure Skating","Figure Skating Men's Singles",Bronze,"Reema Abdo",F
ETH,Sailing,"Sailing Women's Windsurfer",Bronze,"Addis Abebe",M
CAN,Shooting,"Shooting Men's Military Pistol, Team",Bronze,"Jennifer Abel",F
SWE,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Bronze,"Nils Georg berg",M
RSA,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,"Moira Abernethy (-Ford)",F
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",M
URS,Swimming,"Swimming Men's 220 yard Freestyle",Bronze,"Viktor Andreyevich Aboimov",M
AUS,Swimming,"Swimming Men's 400 metres Breaststroke",Bronze,"Matthew "Matt" Abood",M
HUN,Taekwondo,"Taekwondo Women's Flyweight",Bronze,"Attila brahm",M
GBR,Taekwondo,"Taekwondo Women's Welterweight",Bronze,"Gary Abraham",M
SWE,"Water Polo","Water Polo Women's Water Polo",Bronze,"Erik Adolf Efraim Abrahamsson",M
RUS,Weightlifting,"Weightlifting Women's Heavyweight",Bronze,"Pavel Sergeyevich Abramov",M
CHN,Aeronautics,"Aeronautics Mixed Aeronautics",,"A Dijiang",M
CHN,Alpinism,"Alpinism Mixed Alpinism",,"A Lamusi",M
DEN,Archery,"Archery Men's Continental Style",,"Gunnar Nielsen Aaby",M
NED,Archery,"Archery Men's Pole Archery, Large Birds, Team",,"Cornelia "Cor" Aalten (-Strannood)",F
NED,Archery,"Archery Men's Pole Archery, Large Birds, Team",,"Cornelia "Cor" Aalten (-Strannood)",F
FIN,Archery,"Archery Men's Pole Archery, Small Birds, Team",,"Einar Ferdinand "Einari" Aalto",M
FIN,Archery,"Archery Men's Target Archery, 28 metres, Team",,"Jyri Tapani Aalto",M
FIN,Archery,"Archery Men's Target Archery, 33 metres, Individual",,"Minna Maarit Aalto",F
FIN,Archery,"Archery Men's Target Archery, 33 metres, Individual",,"Minna Maarit Aalto",F
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",,"Arvo Ossian Aaltonen",M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",,"Arvo Ossian Aaltonen",M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",,"Arvo Ossian Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team",,"Paavo Johannes Aaltonen",M
FIN,Archery,"Archery Men's Team Round",,"Timo Antero Aaltonen",M
FIN,Archery,"Archery Women's Double Columbia Round",,"Win Valdemar Aaltonen",M
