Länder,Sportart,event,Medallien,"Name Athlet","Alter Athlet",Geschlecht
URS,Weightlifting,"Weightlifting Women's Super-Heavyweight",Silver,"Nelli Mikhaylovna Abramova",24,F
SWE,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Bronze,"Nils Georg berg",19,M
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",28,M
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",32,M
RSA,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,"Moira Abernethy (-Ford)",17,F
NED,"Art Competitions","Art Competitions Mixed Literature, Dramatic Works",Bronze,"Willemien Aardenburg",22,F
ITA,Athletics,"Athletics Men's 200 metres",Bronze,"Giovanni Abagnale",21,M
ESP,Athletics,"Athletics Men's 200 metres Hurdles",Bronze,"Jos Luis Abajo Gmez",30,M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",19,M
AZE,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,"Patimat Abakarova",21,F
NOR,"Art Competitions","Art Competitions Mixed Music, Unknown Event",Bronze,"Ann Kristin Aarnes",23,F
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",24,M
ESP,Athletics,"Athletics Men's Discus Throw, Both Hands",Bronze,"Jos Manuel Abascal Gmez",26,M
ETH,Sailing,"Sailing Women's Windsurfer",Bronze,"Addis Abebe",21,M
URS,Swimming,"Swimming Men's 220 yard Freestyle",Bronze,"Viktor Andreyevich Aboimov",22,M
AUS,Swimming,"Swimming Men's 400 metres Breaststroke",Bronze,"Matthew "Matt" Abood",30,M
IRI,Fencing,"Fencing Men's Sabre, Individual",Bronze,"Saeid Morad Abdevali",26,M
HUN,Taekwondo,"Taekwondo Women's Flyweight",Bronze,"Attila brahm",21,M
HUN,Athletics,"Athletics Men's Standing Long Jump",Bronze,"Oszkr Abay-Nemes",22,M
ITA,Athletics,"Athletics Women's 1,500 metres",Bronze,"Silvano Abba",25,M
GBR,Taekwondo,"Taekwondo Women's Welterweight",Bronze,"Gary Abraham",21,M
CAN,Shooting,"Shooting Men's Military Pistol, Team",Bronze,"Jennifer Abel",20,F
AUS,Boxing,"Boxing Men's Heavyweight",Bronze,"Desmond "Des" Abbott",21,M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",Bronze,"Arvo Ossian Aaltonen",30,M
CAN,"Figure Skating","Figure Skating Men's Singles",Bronze,"Reema Abdo",21,F
SWE,"Water Polo","Water Polo Women's Water Polo",Bronze,"Erik Adolf Efraim Abrahamsson",22,M
RUS,Weightlifting,"Weightlifting Women's Heavyweight",Bronze,"Pavel Sergeyevich Abramov",25,M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",Bronze,"Arvo Ossian Aaltonen",30,M
